,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
384,0,0,0,1,350,0,0,0,0,korg,korg minilogue ,Adrián Márquez,Madrid,18/10/2022,15/12/2022,1/11/2022,176,1620
385,0,0,0,1,110,0,0,0,0,poly,casio vl-5 vl1 poly con lector y funda ,ms10,Zaragoza,26/02/2022,30/11/2022,1/11/2022,1234,321
386,0,0,0,1,350,0,0,0,0,uno,"módulo waldorf micro q 25 voces tres unidades, uno azul y dos amarillos ",[Mateo Asensi Arnau],Castellón,25/10/2022,21/12/2022,1/11/2022,216,1864
387,0,1,0,0,0,0,0,0,0,decksaver,decksaver para ni s49mk2 ,Javi,Barcelona,11/05/2022,06/11/2022,1/11/2022,129,394
388,0,0,0,1,250,0,0,0,0,korg,korg 01 wfd ,chinog,Madrid,14/08/2022,29/12/2022,1/11/2022,532,632
389,0,0,0,1,250,0,0,1,1,mpc,mpc live para o ,thisisprisma,Toledo,03/01/2022,30/11/2022,1/11/2022,1258,1312
390,0,0,0,1,1089,0,0,0,0,moog,moog subsequent 25 ,moog1406,Girona,24/09/2021,26/11/2022,1/11/2022,664,637
391,0,0,0,1,1490,0,0,0,0,-,prophet rev 2 ,sr.mclowie,Barcelona,14/09/2022,08/11/2022,1/11/2022,542,1027
392,1,0,0,1,50,0,0,0,0,-,varios teclados marcas diferentes y modelos ,japovaz,Ourense,23/09/2022,26/11/2022,1/11/2022,1024,763
393,0,0,0,1,219,0,0,0,0,micro,kurzweil micro ensemble ,moog1406,Girona,24/08/2021,17/12/2022,1/11/2022,1115,637
394,0,0,0,1,275,0,0,0,0,atomosynth,mochika x2 atomosynth ,dmfront,Sevilla,31/07/2022,22/12/2022,1/11/2022,548,762
395,0,0,0,1,350,0,0,0,0,casio,piano casio privia px-400r ,Miguel,Barcelona,11/10/2022,07/12/2022,1/11/2022,112,611
396,0,0,0,1,120,0,0,0,0,akai,akai mpk 49 ,David Garzinsky,Valencia,18/09/2022,17/11/2022,1/11/2022,273,1482
397,0,0,0,1,399,0,0,0,0,kurzweil,kurzweil pc2x ,Al12,Madrid,09/11/2021,29/11/2022,1/11/2022,1919,272
398,0,0,0,1,700,0,0,0,0,access,access matrix programmer ,cvsequencer,Barcelona,03/08/2022,30/11/2022,1/11/2022,775,1188
399,0,1,0,0,0,0,0,0,0,roland,roland jd-xi ,tumithak,Alicante,25/10/2022,22/12/2022,1/11/2022,94,871
400,0,0,0,1,490,0,0,0,0,virus,accec virus a ,larch,Gipuzkoa,05/09/2022,01/12/2022,1/11/2022,560,522
401,0,0,0,1,1350,0,0,0,0,nord electro ,5d 61 con flight case y funda de nord ,teclatommy,Barcelona,01/11/2022,31/12/2022,1/11/2022,34,1087
402,0,0,0,1,160,0,0,0,0,roland,roland beat machine t-8 ,Arturo Pulido Molina,Cáceres,11/10/2022,25/11/2022,1/11/2022,332,1930
403,0,0,0,1,30,0,0,0,0,korg,tarjetas expansion roland y korg sonidos ,Juanjo,Granada,02/12/2020,10/12/2022,1/11/2022,1466,615
404,0,0,0,1,300,0,0,0,0,dreadbox,dreadbox hades ,tomiwilli,Madrid,17/01/2022,01/12/2022,1/11/2022,1517,986
405,0,0,0,1,250,0,0,0,0,korg,korg microkorg xl+ ,gorka22,Navarra,30/10/2022,29/12/2022,1/11/2022,102,632
406,0,0,0,1,35,0,0,0,0,tascam,tascam 246 pinch roller ,NastyMemoryMan,Madrid,20/01/2020,18/11/2022,1/11/2022,1009,1444
407,0,0,0,1,200,0,0,0,0,delptronics,"delptronics trigger man, ldb 2e, ldb 2x ",liradigital MRF,Madrid,13/07/2022,01/12/2022,1/11/2022,463,1419
408,0,0,0,1,420,0,0,0,0,waldorf,sintetizador waldorf blofeld con teclado ,URTAIN,Bizkaia,11/10/2022,12/12/2022,1/11/2022,272,467
409,0,0,0,1,500,0,0,0,0,moog,moog vx-352 ,Chema Payero,Madrid,11/07/2021,02/11/2022,1/11/2022,1516,1134
410,0,0,1,0,50,0,0,0,0,yamaha,cartucho rom yamaha dx7s por go pro ,int3rc0m,Madrid,27/02/2022,27/11/2022,1/11/2022,523,752
411,0,0,0,1,500,0,0,0,0,roland,roland d-550 ,Juan vilches,Madrid,02/10/2022,01/12/2022,1/11/2022,329,1180
412,0,0,0,1,329,0,0,0,0,-,modcan triple oscilator ,moog1406,Girona,11/06/2021,18/12/2022,1/11/2022,476,637
413,0,0,0,1,800,0,0,0,0,analogue solutions ,leipzig-s ,roy242,Valencia,21/08/2022,13/12/2022,1/11/2022,478,498
414,0,0,0,1,1075,0,0,0,0,hammond,hammond sk1 ,Pau Ortolà,Valencia,07/04/2022,01/12/2022,1/11/2022,862,1078
415,0,0,0,1,250,0,0,0,0,behringer,behringer rd-8 ,rockyf,Barcelona,28/10/2022,27/12/2022,1/11/2022,118,654
416,0,0,0,1,325,0,0,0,0,casio,casio px350 m n wthasa 604348204 ,juanmotero,Cádiz,30/10/2022,29/12/2022,1/11/2022,72,1092
417,0,0,0,1,150,0,0,0,0,eurorack,modulo eurorack antimatter crossfold ,chichiinka,Granada,11/10/2022,11/12/2022,1/11/2022,103,1035
418,0,0,0,1,100,0,0,0,0,befaco,secuenciador analógico befaco slicer v3 ,indienella,Asturias,22/02/2022,16/12/2022,1/11/2022,597,1045
419,0,0,0,1,190,0,0,0,0,instruments,mutable instruments plaits ,guardabrazo,Madrid,02/09/2022,01/11/2022,1/11/2022,251,1170
420,0,0,0,1,120,0,0,0,0,miditech,módulo de sonidos pianobox usb de miditech ,franpa,Alicante,11/05/2022,26/11/2022,1/11/2022,830,632
421,0,0,0,1,20,0,0,0,0,roland,roland jx-3p - librería para ni kontakt y reason ,Dj.Zyon.42,Córdoba,01/06/2022,23/11/2022,1/11/2022,231,800
422,0,0,0,1,1800,0,0,0,0,roland,roland jd-800 impecable ,landstrung,Barcelona,18/02/2021,22/11/2022,1/11/2022,4580,1090
423,0,0,0,1,295,0,0,0,0,casio,casio xw-g1 + bolsa de transporte + tarjeta sd 32 gb ,nanolinks,A Coruña,16/09/2022,15/11/2022,1/11/2022,230,973
424,0,1,0,0,0,0,0,0,0,ensoniq,ensoniq asr-x o asr-x pro ,lisane,Córdoba,14/09/2022,01/11/2022,1/11/2022,265,636
425,0,0,0,1,60,0,0,0,0,arturia,arturia minilab ,Tommy,Barcelona,11/10/2022,10/12/2022,1/11/2022,174,534
426,0,0,0,1,790,0,0,0,0,yamaha,yamaha tenori-on magnesio ,moog1406,Girona,01/06/2022,17/11/2022,1/11/2022,769,637
427,0,0,0,1,70,0,0,0,0,yamaha,yamaha dx7 breath controler bc1 ,Synthaddict,Madrid,19/08/2022,06/11/2022,1/11/2022,649,1151
428,0,0,0,1,1430,0,0,0,0,arp,arp 2600 m ,moog1406,Girona,03/09/2021,05/11/2022,1/11/2022,557,637
429,0,0,0,1,40,0,0,0,0,korg,pedal de expresión korg exp-2 ,Reibo,Valladolid,11/10/2022,26/11/2022,1/11/2022,141,497
430,0,0,0,1,450,0,0,0,0,-,rotor leslie ,organero,Cádiz,21/03/2022,16/11/2022,1/11/2022,361,861
431,0,0,0,1,2150,0,0,0,0,se,digital mixer tascam teac dm-3200 + vumeter tascam mu-1000 se admiten ofertas ,equipoestudio,Murcia,11/10/2022,07/12/2022,1/11/2022,214,1424
432,0,0,0,1,295,0,0,0,0,modular,modular ,tyrel,Madrid,23/03/2021,31/12/2022,1/11/2022,1088,560
433,0,0,0,1,1600,0,0,0,0,-,piano digital cp4 stage ,Albert J,Tarragona,27/10/2022,26/12/2022,1/11/2022,98,708
434,0,0,0,1,189,0,0,0,0,gator,flight case gator ,moog1406,Girona,05/04/2022,17/12/2022,1/11/2022,672,637
435,0,0,0,1,2079,0,0,0,0,-,sequential prophet rev 2 16 ,moog1406,Girona,15/02/2022,12/12/2022,1/11/2022,943,637
436,0,0,0,1,500,0,0,0,0,yamaha,sintetizador yamaha mo6 ,Edaurdo,Madrid,28/06/2021,30/11/2022,1/11/2022,686,708
437,0,0,0,1,375,0,0,0,0,roland,teclado roland e-96 ,Gabriel,Madrid,03/09/2022,02/11/2022,1/11/2022,263,694
438,0,0,0,1,200,0,0,0,0,-,ne zularic repetitor ,Carlos R,Barcelona,25/10/2022,23/12/2022,1/11/2022,100,726
439,0,0,0,1,200,0,0,0,0,micro,kurzweil micro ensemble me-1 ,Carlos de Arriba,Barcelona,02/09/2022,23/11/2022,1/11/2022,658,1470
440,0,0,0,1,260,0,0,0,0,clavia,clavia nord drum ,Ronert,Valencia,06/09/2022,05/11/2022,1/11/2022,668,634
441,0,0,0,1,3000,0,0,0,0,-,órgano profesional ,Pelayo,Asturias,10/09/2022,09/11/2022,1/11/2022,311,618
442,0,0,0,1,1,0,0,0,0,eurorack,varios módulos eurorack nuevos precios ,pocajoke,Barcelona,17/09/2022,22/11/2022,1/11/2022,886,844
443,0,0,0,1,125,0,0,0,0,korg,korg p3 piano module ,Samsimo,Madrid,20/03/2021,25/11/2022,1/11/2022,2288,729
444,0,0,1,0,310,0,0,0,0,mod,mod dwarf ,spankmeo,Madrid,11/10/2022,11/12/2022,1/11/2022,143,862
445,0,0,0,1,2799,0,0,0,0,elektron,elektron monomachine mk2 mkii sfx 60+ ,Albornozz,Madrid,26/10/2022,01/12/2022,1/11/2022,146,961
446,0,0,0,1,280,0,0,0,0,noise,noise engineering manis iteritas ,Alex Garcia,Valencia,29/10/2022,28/12/2022,1/11/2022,108,1009
447,0,0,0,1,180,0,0,0,0,roland,roland tr-626 ,flyingcarpet,Barcelona,18/10/2022,18/12/2022,1/11/2022,222,1288
448,0,0,0,1,800,0,0,0,0,moog,moog slim phatty ,anthuantheriver,Ávila,23/08/2022,16/11/2022,1/11/2022,732,1624
449,0,0,0,1,200,0,0,0,0,akai,vento akai mpk 49 por falta de uso ,Lolo,Madrid,11/10/2022,09/12/2022,1/11/2022,136,406
450,0,0,0,1,1469,0,0,0,0,arturia,arturia matrixbrute ,moog1406,Girona,10/03/2022,02/12/2022,1/11/2022,786,637
451,0,0,0,1,500,0,0,0,0,dave smith ,dsi evolver synthesizer desktop ,123_creative,Barcelona,30/10/2022,29/12/2022,1/11/2022,168,1096
452,0,0,0,1,650,0,0,0,0,-,numa organ 2 ,aitoralk,A Coruña,29/10/2021,11/12/2022,1/11/2022,791,855
453,0,0,0,1,180,0,0,0,0,emu,sampler emu esi 4000 con tarjeta efectos salidas ,Sebb Junior,Granada,11/10/2022,22/11/2022,1/11/2022,282,1043
