,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,user_anon
531,0,0,0,1,495,0,0,0,0,waldorf,waldorf microwave ii rack ,Sevilla,10/06/2022,27/09/2022,1/9/2022,594,279
532,0,0,0,1,5500,0,0,0,0,rhodes,piano rhodes 88 mark ii eighty eight suitcase ,Madrid,19/01/2022,22/09/2022,1/9/2022,1720,580
533,0,0,0,1,1550,0,0,0,0,roland,roland júpiter 80 + flight case a medida ,Toledo,26/11/2020,22/10/2022,1/9/2022,2048,650
534,0,0,0,1,90,0,0,0,0,volca,colección volca casi completa + extras ,Lugo,24/06/2021,27/09/2022,1/9/2022,2901,851
535,0,0,0,1,90,0,0,0,0,kawai,kawai card ram dc 16 ,Girona,26/05/2021,26/09/2022,1/9/2022,408,637
536,0,0,0,1,75,0,0,0,0,bheringer,bheringer umx 61 ,Valencia,04/03/2021,17/10/2022,1/9/2022,1121,298
537,0,0,0,1,333,0,0,0,0,yamaha,yamaha tx-7 ,Valencia,2 semanas,01/10/2022,1/9/2022,354,1073
538,0,0,0,1,375,0,0,0,0,roland,roland fantom xr ,Zaragoza,11/06/2022,13/09/2022,1/9/2022,440,183
539,0,0,0,1,779,0,0,0,0,roland,roland mc 707 ,Girona,17/02/2022,23/09/2022,1/9/2022,766,637
540,0,1,0,0,0,0,0,0,0,arturia,arturia keystep ,Sevilla,2 días,30/10/2022,1/9/2022,58,413
541,0,0,0,1,85,0,0,0,0,roland,roland pn d50 02 ,Girona,26/05/2021,09/10/2022,1/9/2022,466,637
542,0,0,0,1,190,0,0,0,0,arturia,arturia beatstep pro ,Pontevedra,3 semanas,10/10/2022,1/9/2022,104,637
543,0,0,0,1,250,0,0,0,0,korg,korg microsampler ,Barcelona,04/04/2021,25/09/2022,1/9/2022,1137,1274
544,0,0,0,1,1900,0,0,0,0,arturia,arturia polybrute ,Sevilla,3 días,28/10/2022,1/9/2022,118,512
545,0,0,0,1,375,0,0,0,0,system,eric synths pico system iii desktop ,Girona,29/12/2021,30/10/2022,1/9/2022,934,637
546,0,0,0,1,179,0,0,0,0,yamaha,procesador de efectos yamaha emp-100 para guitarra bajo voces y teclados ,Zaragoza,20/01/2022,24/09/2022,1/9/2022,902,1569
547,0,0,0,1,1350,0,0,0,0,korg,korg ms-20 ,Girona,23/06/2021,08/10/2022,1/9/2022,1007,637
548,0,0,0,1,180,0,0,0,0,-,alm001 pamelas workout ,Madrid,3 semanas,28/09/2022,1/9/2022,196,869
549,0,0,0,1,80,0,0,0,0,akai,akai pro mpd 32 ,Barcelona,04/07/2022,02/09/2022,1/9/2022,278,387
550,0,0,0,1,860,0,0,0,0,yamaha,yamaha moxf8 ,Navarra,4 semanas,05/10/2022,1/9/2022,308,601
551,0,0,0,1,450,0,0,0,0,yamaha,yamaha tenori-on ,Barcelona,2 días,29/10/2022,1/9/2022,104,1065
552,0,0,0,1,550,0,0,0,0,quasimidi,quasimidi sirius ,Valencia,26/04/2022,19/10/2022,1/9/2022,753,843
553,0,0,0,1,50,0,0,0,0,-,organo lowrey genie tenie ,Madrid,22/09/2020,29/10/2022,1/9/2022,1438,1151
554,0,0,0,1,300,0,0,0,0,komplete,teclado controlador ni komplete kontrol mk3 49 ,Valencia,10/07/2022,08/09/2022,1/9/2022,386,2271
555,0,0,0,1,270,0,0,0,0,elka,teclado elka omb5 caja de ritmos+acompañamiento automático drumstar80 ,Madrid,2 semanas,26/09/2022,1/9/2022,378,1057
556,0,0,0,1,35,0,0,0,0,korg,korg m3 - librería para ni kontakt y reason ,Córdoba,01/06/2022,18/09/2022,1/9/2022,284,536
557,0,0,0,1,550,0,0,0,0,virus,access virus snow ,Madrid,13/07/2022,11/09/2022,1/9/2022,796,1342
558,1,0,0,1,175,0,0,0,0,eurorack,diode operator station vcf eurorack ,Madrid,1 día,30/10/2022,1/9/2022,88,560
559,0,0,0,1,75,0,0,0,0,yamaha,yamaha rx-17 caja de ritmos desktop digital posterior a rx11 rx15 ,Alicante,18/07/2022,01/09/2022,1/9/2022,442,605
560,0,0,0,1,125,0,0,0,0,midi,motu midi timepiece ii ,Zaragoza,08/03/2022,30/09/2022,1/9/2022,1121,1569
561,0,0,0,1,230,0,0,0,0,ajh,ajh synth dual contour black ,Girona,17/09/2021,30/10/2022,1/9/2022,571,637
562,0,1,1,0,0,0,0,0,0,e-mu,e-mu orbit v3 ,Valencia,3 semanas,14/10/2022,1/9/2022,134,725
563,0,0,0,1,430,0,0,0,0,eurorack,eloquencer eurorack ,Madrid,29/06/2022,11/09/2022,1/9/2022,460,652
564,0,0,0,1,550,0,0,0,0,akai,akai mpk 88 ,Alicante,31/05/2022,09/10/2022,1/9/2022,368,2160
565,0,0,0,1,20,0,0,0,0,korg,cassette datos para korg poly800-ii ,Madrid,07/07/2022,26/09/2022,1/9/2022,198,1106
566,0,0,0,1,4500,0,0,0,0,roland,sintetizador roland jupiter-4 compuphonic ,Castellón,09/07/2022,07/09/2022,1/9/2022,530,2327
567,0,0,0,1,75,0,0,0,0,kurzweil,placa sampler smp-r para kurzweil k2000r ,Barcelona,26/05/2021,28/09/2022,1/9/2022,2098,1121
568,0,0,0,1,2900,0,0,0,0,-,ob-06 con sonidos de pago ,Madrid,28/07/2022,25/09/2022,1/9/2022,598,943
569,0,0,0,1,700,0,0,0,0,emu,emu e4x turbo - hollywood gold limited edition ,Alicante,3 días,28/10/2022,1/9/2022,146,851
570,0,0,0,1,60,0,0,0,0,midi,icon ikeyboard 5x - teclado midi ,Barcelona,10/04/2022,07/10/2022,1/9/2022,530,850
571,0,0,1,0,0,0,0,0,0,roland,korg r3 y roland ju06a ,Barcelona,1 semana,28/09/2022,1/9/2022,268,1062
572,0,0,0,1,90,0,0,0,0,dreadbox,dreadbox hysteria ,Granada,14/02/2022,27/09/2022,1/9/2022,488,853
573,0,0,0,1,300,0,0,0,0,-,studiologic numacompact 2 ,Madrid,2 días,29/10/2022,1/9/2022,114,728
