,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
725,0,0,0,1,49,0,0,0,0,-,ladik q 010 easy quantizer ,moog1406,Girona,25/03/2022,08/10/2022,1/9/2022,701,637
726,0,0,0,0,12,1,0,0,0,-,galactic ascensión para modx y montage + ,bicho,Madrid,29/05/2020,10/09/2022,1/9/2022,1565,517
727,0,0,0,1,1800,0,0,0,0,oberheim,oberheim ob-5 ,jefalum,Tarragona,28/08/2022,27/10/2022,1/9/2022,208,740
728,0,0,0,1,20,0,0,0,0,korg,cassette datos para el korg dw8000 ,polypodium,Madrid,07/07/2022,26/09/2022,1/9/2022,178,1106
729,0,0,0,1,1400,0,0,0,0,korg,korg sv-1 88 teclas ,gonso,Madrid,03/05/2022,07/09/2022,1/9/2022,520,550
730,0,0,0,1,1450,0,0,0,0,eurorack,oscilador doble eurorack cwejman vco-2rm ,tyrel,Madrid,16/03/2022,27/10/2022,1/9/2022,360,560
731,0,0,0,1,75,0,0,0,0,yamaha,piano eléctrico yamaha ypt-200 ,kichiilik,Cantabria,25/05/2022,24/09/2022,1/9/2022,382,945
732,0,0,0,1,330,0,0,0,0,roland,roland jv 1080 ,roy242,Valencia,18/08/2022,28/09/2022,1/9/2022,318,498
733,0,0,0,1,329,0,0,0,0,-,mode maschines xoxbox ,moog1406,Girona,16/12/2021,24/09/2022,1/9/2022,532,637
734,0,0,0,1,75,0,0,0,0,studio,korg nanokey studio ,DrTek,Barcelona,25/04/2022,13/09/2022,1/9/2022,862,474
735,0,0,0,1,1250,0,0,0,0,yamaha,teclado tyros3 yamaha en muy buenas condiciones ,Arpegio,Toledo,02/02/2021,29/09/2022,1/9/2022,1748,711
736,0,0,0,1,65,0,0,0,0,dreadbox,eurorack dreadbox ataxia ,Pablo M. - Sullibass,Zaragoza,25/08/2022,27/09/2022,1/9/2022,132,1704
737,0,0,0,1,1800,0,0,0,0,roland,roland juno 106 ,polypodium,Madrid,27/08/2022,26/10/2022,1/9/2022,306,1106
