,Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
0,1,0,0,0,1,350,0,0,0,0,-,dreadbox nyx v1 ,selimorgan,Valencia,08/05/2022,27/09/2022,30/8/2022,700,1073
1,2,0,0,0,1,350,0,0,0,0,-,modal electronics cobalt 5s ,Luis Martín (Roma 18),Castellón,25/07/2022,23/09/2022,30/8/2022,330,1845
2,3,0,0,0,1,900,0,0,0,0,-,moog little phatty stage 2 ,Gergö,Baleares,10/07/2021,28/09/2022,30/8/2022,570,635
3,4,0,0,0,1,420,0,0,0,0,-,último precio doepfer a-100 6u ,manuelariza,Málaga,01/07/2022,30/08/2022,30/8/2022,290,1177
4,5,0,0,0,1,480,0,0,0,0,-,mpc live ssd 250 envío incluido ,djoy,Albacete,26/08/2022,25/10/2022,30/8/2022,182,438
5,6,0,0,0,1,105,0,0,0,0,-,synthrotek fold ,moog1406,Girona,03/01/2022,20/09/2022,30/8/2022,496,637
6,7,0,0,0,1,1300,0,0,0,0,-,roland fantom g6 ,NELUQ,Cuenca,04/07/2022,18/09/2022,30/8/2022,568,389
7,8,0,0,1,0,0,0,0,0,0,-,kurzweil k2500x ,chinog,Madrid,16/08/2022,17/10/2022,30/8/2022,286,632
8,9,0,0,0,1,80,0,0,0,0,-,alesis qx49 - controlador midi ,SINTEXIA,Córdoba,19/07/2022,17/09/2022,30/8/2022,204,613
9,10,0,0,0,1,500,0,0,0,0,-,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,22/06/2021,22/09/2022,30/8/2022,2465,1301
10,11,0,0,0,1,23,0,0,0,0,-,korg t3 deslizador volumen ,FranZiskAner,Barcelona,28/08/2022,27/10/2022,30/8/2022,42,1198
11,12,0,0,0,1,320,0,0,0,0,-,kordbot isla instruments ,IK3R,Barcelona,25/02/2022,27/09/2022,30/8/2022,926,281
12,13,0,1,0,0,0,0,0,0,0,-,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,01/04/2021,07/09/2022,30/8/2022,588,1293
13,14,0,0,0,1,600,0,0,0,0,-,roland d-50 ,subsoniq,Barcelona,30/12/2021,10/10/2022,30/8/2022,1219,884
14,15,0,0,0,1,260,0,0,0,0,-,controlador midi usb m-audio oxygen 88 teclas ,Agostinho,A Coruña,22/07/2022,20/09/2022,30/8/2022,288,940
15,16,0,0,0,1,4500,0,0,0,0,-,"varios sintetizadores, cajas ritmo, efectos ",sergiommms,A Coruña,22/07/2022,20/09/2022,30/8/2022,754,1091
16,17,0,0,0,1,75,0,0,0,0,-,tiptop mixz ,sonicstage,Girona,23/08/2022,27/09/2022,30/8/2022,80,1072
17,18,0,0,0,1,1,0,0,0,0,-,varios eurorack ,Aiko N.,Valencia,09/08/2022,06/10/2022,30/8/2022,633,544
18,19,0,0,0,1,500,0,0,0,0,-,yamaha su 700 ,nekrend,Araba,28/08/2022,27/10/2022,30/8/2022,136,743
19,20,0,0,0,1,200,0,0,0,0,-,jomox t-resonator mkii ,Alinter,Cádiz,09/07/2022,09/09/2022,30/8/2022,578,719
20,21,0,0,0,1,1000,0,0,0,0,-,piano pearl river pd180d ,moog1406,Girona,20/09/2020,08/10/2022,30/8/2022,782,637
21,22,0,0,1,0,410,0,0,0,0,-,poly beebo no ,ElmoreFreak,Las Palmas,08/06/2022,20/09/2022,30/8/2022,325,1101
22,23,0,0,0,1,975,0,0,0,0,-,nord lead 4 ,santibcn,Barcelona,10/04/2022,07/10/2022,30/8/2022,1133,850
23,24,0,0,0,1,380,0,0,0,0,-,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,09/10/2021,27/09/2022,30/8/2022,1064,1031
24,25,0,0,0,1,1111,0,0,0,0,-,módulos eurorack ,Øliveira,Pontevedra,25/08/2022,27/09/2022,30/8/2022,292,964
25,26,0,0,0,1,150,0,0,0,0,-,shakmat modular clock o'pawn nuevo ,Adrià Gil,Barcelona,21/07/2022,28/09/2022,30/8/2022,255,924
26,27,0,0,0,1,729,0,0,0,0,-,moog sub phatty ,moog1406,Girona,09/03/2022,02/09/2022,30/8/2022,978,637
27,28,0,0,0,1,600,0,0,0,0,-,set de tres sintes analógicos enracados behringer ,Abird,Guadalajara,11/06/2022,11/09/2022,30/8/2022,1722,482
28,29,0,0,0,1,2000,0,0,0,0,-,sintetizador modular ,soma,Madrid,16/08/2022,19/09/2022,30/8/2022,456,432
