buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
0,0,1,265,0,0,0,0,4ms,ensemble oscillator 4ms ,Barcelona,2023/12/13,2024/01/19,2023/12/20,99
0,0,1,600,0,0,0,0,asm,asm hydrasynth desktop + presets de pago ,Madrid,2023/12/06,2024/06/17,2023/12/20,180
0,0,1,100,0,0,0,0,studio,studio electronics atc-1 2600 filter cartridge ,Barcelona,2021/09/21,2024/06/15,2023/12/20,1495
0,0,1,150,0,0,0,0,roland,adsr dual roland 540 ,Barcelona,2023/11/29,2024/06/12,2023/12/20,102
0,0,1,350,0,0,0,0,roland,roland jv-1080 con 3 expansiones de sonido ,Madrid,2023/12/13,2024/06/16,2023/12/20,199
0,0,1,60,0,0,0,0,bheringer,bheringer umx 61 ,Valencia,2021/03/04,2024/06/12,2023/12/20,2065
0,0,1,500,0,0,0,0,korg,korg kross 61 con funda original ,Sevilla,2023/12/18,2024/06/15,2023/12/20,70
0,0,1,250,0,0,0,0,behringer,behringer rd8 ,Barcelona,2023/12/06,2024/06/16,2023/12/20,196
0,0,1,790,0,0,0,0,behringer,behringer model d + pro 1 + k2 ,Madrid,2023/11/29,2024/06/13,2023/12/20,262
0,0,1,1499,0,0,0,0,waldorf,waldorf m sintetizador wavetable ,Bizkaia,2021/12/24,2024/06/17,2023/12/20,3493
0,0,1,0,0,0,0,0,elektron,packs de sonidos para máquinas elektron ,Córdoba,2023/11/03,2024/06/17,2023/12/20,159
0,0,1,1149,0,0,0,0,arturia,arturia matrixbrute ,Madrid,2023/12/06,2024/06/16,2023/12/20,403
0,0,1,400,0,0,0,0,novation,novation 61sl mkiii en garantía ,Zaragoza,2023/11/29,2024/06/12,2023/12/20,118
0,0,1,800,0,0,0,0,yamaha,yamaha motif xs6 en perfecto estado ,Barcelona,2023/12/17,2024/06/14,2023/12/20,108
0,0,1,250,0,0,0,0,novation,novation bass station rack ,Barcelona,2023/12/16,2024/06/16,2023/12/20,108
0,0,1,580,0,0,0,0,moog,moog moogerfooger cp 251 ,Barcelona,2023/10/05,2024/06/15,2023/12/20,350
0,0,1,75,0,0,0,0,midi,teclado midi m-audio oxygen pro mini ,Madrid,2023/12/14,2024/06/12,2023/12/20,84
0,1,0,55,0,0,0,0,adam,funda para teclado de 5 octavas por soporte rack tipo adam hall ,Madrid,2021/04/01,2024/06/12,2023/12/20,1804
0,0,1,320,0,0,0,0,mutable,marbles mutable instruments ,Valladolid,2023/11/02,2024/06/03,2023/12/20,184
0,0,1,2200,0,0,0,0,yamaha,yamaha montage 7 ,Cantabria,2023/12/06,2024/06/04,2023/12/20,1197
0,0,1,170,0,0,0,0,behringer,behringer pro 1 ,S.C. de Tenerife,2023/11/20,2024/01/19,2023/12/20,262
0,0,1,350,0,0,0,0,eloquencer,eloquencer + eme ,Sevilla,2023/12/17,2024/06/14,2023/12/20,168
0,1,0,0,0,0,0,0,yamaha,yamaha qy700 ,Madrid,2023/12/16,2024/06/14,2023/12/20,110
0,0,1,250,0,0,0,0,korg,korg microkorg sintetizador ,Cádiz,2023/11/29,2024/06/16,2023/12/20,248
0,0,1,800,0,0,0,0,yamaha,yamaha psr sx700 vendido ,Girona,2023/08/27,2024/05/01,2023/12/20,430
0,0,1,159,0,0,0,0,-,soporte de teclado triple proel ,Barcelona,2023/12/20,2024/06/17,2023/12/20,50
0,0,1,1550,0,0,0,0,doepfer,doepfer a-100 basic system ,Barcelona,2023/11/21,2024/01/18,2023/12/20,276
0,0,1,400,0,0,0,0,yamaha,yamaha qy700 secuenciador workstation ,Barcelona,2023/08/27,2024/06/16,2023/12/20,386
0,0,1,125,0,0,0,0,-,ne sinc bucina ,Barcelona,2023/12/06,2024/06/16,2023/12/20,128
0,0,1,300,0,0,0,0,waldorf,waldorf blofeld ,Madrid,2023/11/20,2024/06/15,2023/12/20,316
0,0,1,80,0,0,0,0,-,po 20 arcade teenage enginering ,Valencia,2023/12/13,2024/06/09,2023/12/20,144
0,0,1,240,0,0,0,0,behringer,behringer rd8 mk1 ,Madrid,2023/12/16,2024/06/13,2023/12/20,173
0,0,1,1535,0,0,0,0,korg,korg opsix se platinum ,Girona,2022/02/17,2024/06/11,2023/12/20,1823
0,0,1,190,0,0,0,0,jomox,jomox mbase 11 ,Sevilla,2023/11/17,2024/06/15,2023/12/20,164
0,0,1,695,0,0,0,0,roland,roland mc-707 ,A Coruña, ,2024/06/13,2023/12/20,68
0,0,1,1700,0,0,0,0,sequential,sequential prophet-6 desktop dave smith ,Sevilla,2023/12/17,2024/06/14,2023/12/20,208
0,0,1,750,0,0,0,0,akai,sampler akai s900 ,Cádiz,2023/12/18,2024/06/15,2023/12/20,130
0,0,1,775,0,0,0,0,verbos,verbos bark filter módulo de eurorack ,Barcelona,2023/11/29,2024/06/16,2023/12/20,162
0,0,1,300,0,0,0,0,dreadbox,dreadbox nymphes ,Sevilla,2023/12/20,2024/06/17,2023/12/20,64
0,0,1,25,0,0,0,0,akai,soporte akai mpc one ,Madrid,2023/08/20,2024/01/14,2023/12/20,446
0,0,1,855,0,0,0,0,oto,oto biscuit ,Barcelona,2023/11/29,2024/01/17,2023/12/20,166
0,0,1,250,0,0,0,0,yamaha,sampler yamaha a4000 ,Barcelona,2023/01/04,2024/06/10,2023/12/20,1622
0,0,1,450,0,0,0,0,novation,novation ks rack también cambio por tr8s ,Madrid,2023/01/20,2024/06/17,2023/12/20,1039
0,0,1,500,0,0,0,0,crumar,crumar organizer t1 de los 70's ,Madrid,2023/08/26,2024/06/10,2023/12/20,722
0,0,1,22,0,0,0,0,roland,roland tb303 panel frontal replica re-303 ,Cantabria,2023/09/17,2024/06/17,2023/12/20,345
0,0,1,990,0,0,0,0,eurorack,mdlr performer series pro 12u 104hp caja de eurorack ,Barcelona,2023/10/12,2024/06/16,2023/12/20,190
0,0,1,280,0,0,0,0,roland,jp-08 roland boutique ,Barcelona,2023/06/05,2024/06/14,2023/12/20,1356
0,0,1,200,0,0,0,0,kawai,kawai k1r modulo ,Madrid,2023/07/27,2024/06/14,2023/12/20,634
0,0,1,399,0,0,0,0,waldorf,"waldorf stvc "" oferta hasta el viernes"" ",Navarra,2023/12/15,2024/06/12,2023/12/20,181
0,0,1,600,0,0,0,0,eurorack,varios módulos eurorack ,Barcelona,2023/12/06,2024/06/17,2023/12/20,244
0,0,1,2200,0,0,0,0,-,teclado tyros 5 con 76 teclas con ampliación a 1024m y 2 packs de sonidos y ritmos ,Madrid,2023/04/16,2024/06/17,2023/12/20,735
0,0,1,150,0,0,0,0,-,malekko varigate 4+ black leer bien ,Barcelona,2023/07/03,2024/06/12,2023/12/20,560
0,0,1,45,0,0,0,0,roland,roland dk-01 boutique dock nuevo ,Valencia,2023/03/08,2024/06/17,2023/12/20,1204
0,0,1,1500,0,0,0,0,yamaha,yamaha yc61 ,Málaga,2023/11/06,2024/05/04,2023/12/20,177
0,0,1,400,0,0,0,0,korg,korg minilogue ,Alicante,2023/10/16,2024/06/11,2023/12/20,569
0,0,1,7,0,0,0,0,roland,roland qd quick disks ,Zamora,2023/11/29,2024/06/17,2023/12/20,124
0,0,1,1350,0,0,0,0,korg,korg sv2 88 en garantia ,Málaga,2023/11/13,2024/06/16,2023/12/20,514
0,0,1,12000,0,0,0,0,moog,moog system 15 ,Barcelona,2020/10/03,2024/06/16,2023/12/20,7864
0,0,1,700,0,0,0,0,-,syncussion sy-1m psyco ,Barcelona,2023/09/13,2024/06/12,2023/12/20,368
0,0,1,580,0,0,0,0,roland,roland xv-3080 128-voice rackmount synthesizer module ,Bizkaia,2023/12/13,2024/06/10,2023/12/20,118
0,0,1,150,0,0,0,0,roland,roland r8-m con 2 tarjetas de sonidos ,Madrid,2023/12/13,2024/06/16,2023/12/20,242
0,0,1,180,0,0,0,0,eurorack,teia vastwave complex oscillator eurorack ,Málaga,2023/12/06,2024/06/12,2023/12/20,120
0,0,1,55,0,0,0,0,-,blofeld license sl ,Madrid,2023/12/14,2024/06/17,2023/12/20,126
0,0,1,40,0,0,0,0,intellijel,intellijel patas 7u case ,Madrid,2023/12/15,2024/01/18,2023/12/20,78
0,0,1,790,0,0,0,0,yamaha,yamaha motif xs ,Alicante,2023/12/17,2024/06/15,2023/12/20,132
0,0,1,1299,0,0,0,0,crumar,crumar mojo con estuche y accesorios ,Ourense,2023/11/13,2024/06/15,2023/12/20,278
0,0,1,190,0,0,0,0,korg,korg monologue ,Barcelona,2023/11/29,2024/06/16,2023/12/20,160
0,0,1,325,0,0,0,0,-,falcon 3 0+ librerias ,Madrid,2023/06/21,2024/06/17,2023/12/20,637
0,0,1,1199,0,0,0,0,squarp,squarp instruments hapax secuenciador avanzado ,Bizkaia,2023/02/23,2024/06/16,2023/12/20,1199
0,0,1,1000,0,0,0,0,roland,roland jd-xa vendo cambio ,Barcelona,2023/10/20,2024/02/18,2023/12/20,313
0,0,1,165,0,0,0,0,midi,icon ikeyboard 8x teclado controlador midi 88 teclas ,Lugo,2023/03/09,2024/06/15,2023/12/20,1214
0,0,1,50,0,0,0,0,moog,pedal expresión moog ep-2 ,Barcelona,2023/10/05,2024/06/15,2023/12/20,302
0,0,1,255,0,0,0,0,roland,roland ju06 ,Madrid,2023/09/25,2024/06/14,2023/12/20,543
0,0,1,225,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Bizkaia,2022/05/25,2024/06/17,2023/12/20,2208
0,0,1,750,0,0,0,0,intellijel,intellijel eurorack 7u case 104 hp + stereo out 1u ,Murcia,2023/12/18,2024/06/15,2023/12/20,54
0,0,1,3149,0,0,0,0,sequential,"sequential prophet 10 module,,prophet rev2 module, pro 3 se, pro 3,elektron rytm mkii, waldorf m, kodamo essence fm mkii ",Bizkaia,2021/02/17,2024/06/09,2023/12/20,18038
0,0,1,500,0,0,0,0,analogue solutions ,oberkorn 3 ,Barcelona,2023/10/16,2024/01/19,2023/12/20,512
0,0,1,325,0,0,0,0,doepfer,doepfer a-100p6 case psu3 eurorack ,Málaga,2023/12/06,2024/06/12,2023/12/20,177
0,0,1,850,0,0,0,0,akai,akai force + extras ,Pontevedra,2023/12/06,2024/06/14,2023/12/20,164
0,0,1,80,0,0,0,0,roland,roland jv80 03 piano expansión ,Baleares,2023/12/13,2024/06/11,2023/12/20,72
0,0,1,190,0,0,0,0,akai,akai sg01v ,Madrid,2023/03/31,2024/06/16,2023/12/20,1028
0,0,1,150,0,0,0,0,mutable,mutable instruments rings clono módulo de eurorack ,Barcelona,2023/09/20,2024/06/16,2023/12/20,290
0,0,1,230,0,0,0,0,eurorack,eurorack - vco joranalogue generate 3 - generador multifónico thru-zero ,Madrid,2023/12/19,2024/06/16,2023/12/20,66
0,0,1,50,0,0,0,0,midi,midi thru philip rees v3 ,Girona,2023/10/20,2024/06/12,2023/12/20,172
0,0,1,650,0,0,0,0,korg,korg kingkorg black ,Pontevedra,2023/07/08,2024/06/14,2023/12/20,809
0,0,1,390,0,0,0,0,behringer,behringer vocoder vc340 ,Barcelona,2023/12/06,2024/06/14,2023/12/20,276
0,0,1,300,0,0,0,0,roland,roland xv-5050 módulo ,Madrid,2023/07/27,2024/06/14,2023/12/20,607
0,0,1,500,0,0,0,0,korg,sintetizador korg m1 ,Toledo,2023/12/18,2024/06/15,2023/12/20,56
0,0,1,210,0,0,0,0,novation,novation launchkey 61 mk3 ,Alicante,2023/11/07,2024/05/05,2023/12/20,406
0,0,1,550,0,0,0,0,yamaha,yamaha dx7 iid ,Madrid,2023/12/06,2024/06/15,2023/12/20,148
1,0,0,0,0,0,0,0,make noise ,strega ,Zamora,2023/12/20,2024/06/17,2023/12/20,16
1,0,0,0,0,0,0,0,arp,slider cap para arp odyssey mkiii ,Burgos,2023/10/25,2024/06/10,2023/12/20,230
0,0,1,290,0,0,0,0,-,kit controlador para leslies de 6 pines 122 y 147 familias 6h y 6w ,Zaragoza,2021/07/10,2024/06/10,2023/12/20,1433
0,0,1,550,0,0,0,0,roland,roland tr8s + sd card ,Barcelona,2023/11/22,2024/01/19,2023/12/20,166
0,0,1,125,0,0,0,0,korg,korg x3 como módulo ,Barcelona,2023/09/14,2024/06/10,2023/12/20,440
0,0,1,750,0,0,0,0,roland,"actualizado roland fa-06, impecable, también cambio ",Granada,2023/06/24,2024/06/15,2023/12/20,955
0,0,1,6000,0,0,0,0,hammond,hammond a100 con leslie 760 ,Zaragoza,2020/11/03,2024/06/10,2023/12/20,6720
1,0,0,0,0,0,0,0,casio,casio cz230s ,Asturias,2023/07/22,2024/06/10,2023/12/20,310
0,1,0,0,0,0,0,0,mutable,mutable instruments ripples v2 ,Barcelona,2023/10/30,2024/06/13,2023/12/20,156
0,0,1,350,0,0,0,0,behringer,behringer ms-1 bk ,Bizkaia,2023/11/16,2024/06/13,2023/12/20,181
0,0,1,450,0,0,0,0,deepmind,rebaja solo hasta reyes deepmind 12d ,Madrid,2023/11/22,2024/06/15,2023/12/20,407
0,0,1,280,0,0,0,0,korg,korg electribe sampler 2 + extras ,Madrid,2023/11/22,2024/05/20,2023/12/20,152
0,0,1,120,0,0,0,0,gator,gator g-pg-61 funda teclado nueva ,Valencia,2023/10/06,2024/06/17,2023/12/20,228
0,0,1,120,0,0,0,0,hexinverter,hexinverter mutant hi hats tambien cambio ,Barcelona,2023/10/22,2024/01/19,2023/12/20,330
0,0,1,140,0,0,0,0,doepfer,doepfer a-111-6 full synth voice ,Zaragoza,2023/11/29,2024/06/15,2023/12/20,132
0,0,1,330,0,0,0,0,-,cold mac -módulo eurorack- ,Granada,2023/12/13,2024/06/10,2023/12/20,138
0,0,1,390,0,0,0,0,yamaha,yamaha mx61 con funda incluida ,Barcelona,2023/07/20,2024/06/14,2023/12/20,799
0,0,1,1879,0,0,0,0,modular,sintetizador modular endorphines shuttle system eurorack a estrenar ,Madrid,2023/02/20,2024/01/17,2023/12/20,1216
0,0,1,750,0,0,0,0,korg,korg m 50 88 teclas ,Madrid,2022/12/30,2024/06/16,2023/12/20,1820
0,0,1,200,0,0,0,0,doepfer,doepfer a-100 lc6 case 6he psu3 ,Barcelona,2023/12/17,2024/06/14,2023/12/20,80
0,0,1,95,0,0,0,0,korg,korg volca kick + decksaver + fuente alimentacion ,Tarragona,2023/12/06,2024/06/09,2023/12/20,113
0,0,1,115,0,0,0,0,-,teclado thomann sp-320 ,Badajoz,2023/12/18,2024/06/15,2023/12/20,100
