Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,seen,published_dt,expire_dt,date_scrapped_dt
439,0,0,0,1,460,0,0,0,0,roland,roland ju-06a+k25m+decksaver ,Girona,529,2023-11-21,2024-07-12,2024-02-09
440,0,0,0,1,160,0,0,0,0,roland,roland ax1 ,Barcelona,168,2024-02-06,2024-07-11,2024-02-09
441,0,0,0,1,1950,0,0,0,0,korg,korg kronos 2 61 ,Cantabria,1938,2023-12-07,2024-07-09,2024-02-09
442,0,0,0,1,575,0,0,0,0,kurzweil,kurzweil pc3x88 ,Barcelona,464,2023-10-07,2024-04-04,2024-02-09
443,0,0,0,1,1200,0,0,0,0,ensoniq,sampler ensoniq asr 10 ,Cádiz,718,2024-01-12,2024-07-09,2024-02-09
444,0,0,0,1,480,0,0,0,0,subharmonicon,subharmonicon ,Lugo,90,2024-02-09,2024-07-14,2024-02-09
445,0,0,0,1,750,0,0,0,0,akai,akai mpc 2500 ,Girona,1008,2022-01-03,2024-07-10,2024-02-09
446,0,0,0,1,1200,0,0,0,0,elektron,elektron machinedrum ,Barcelona,290,2024-02-05,2024-07-10,2024-02-09
447,0,0,0,1,150,0,0,0,0,klavis,klavis twin waves mki ,Asturias,176,2024-01-12,2024-07-13,2024-02-09
448,0,0,0,1,280,0,0,0,0,roland,roland sh01a ,Bizkaia,102,2024-02-07,2024-03-14,2024-02-09
449,0,0,0,1,550,0,0,0,0,roland,roland tr8-s + extras ,Sevilla,898,2023-10-11,2024-07-10,2024-02-09
450,0,0,0,1,170,0,0,0,0,studiologic,"studiologic sl-990 pro, teclado controlador midi ",Barcelona,144,2024-02-07,2024-07-12,2024-02-09
451,0,0,0,1,1450,0,0,0,0,nord electro ,4 sw 73 ,Guadalajara,648,2023-10-27,2024-07-09,2024-02-09
452,0,0,0,1,425,0,0,0,0,nord lead ,1 - rack ,Valencia,64,2024-02-09,2024-07-18,2024-02-09
453,0,0,0,1,95,0,0,0,0,erica synths ,pico drums ,Valencia,769,2023-07-12,2024-07-18,2024-02-09
454,0,0,0,1,260,0,0,0,0,noise,noise engineering - loquelic iteritas oscilador dual complejo eurorack ,Madrid,58,2024-02-09,2024-07-18,2024-02-09
455,0,0,0,1,180,0,0,0,0,roland,teclado controlador roland a37 ,Bizkaia,40,2024-02-09,2024-07-18,2024-02-09
456,0,0,0,1,1000,0,0,0,0,nord stage ,3 88 ha ,Barcelona,268,2024-02-09,2024-07-18,2024-02-09
457,0,0,0,1,40,0,0,0,0,studilogic,studilogic fatar sl880 ,Madrid,60,2024-02-09,2024-07-18,2024-02-09
458,0,0,0,1,160,0,0,0,0,mutable,mutable instruments shades ,Valencia,218,2023-09-16,2024-07-18,2024-02-09
459,0,0,0,1,500,0,0,0,0,moog,moog dfam sintetizador analogico ,Valencia,38,2024-02-09,2024-07-18,2024-02-09
460,0,0,0,1,475,0,0,0,0,korg,korg radias ,Sevilla,252,2023-09-08,2024-07-18,2024-02-09
461,0,0,0,1,300,0,0,0,0,akai,akai mpc1000 ,Madrid,67,2024-02-09,2024-07-18,2024-02-09
462,0,0,0,1,20,0,0,0,0,-,key control 25xt ,Madrid,26,2024-02-09,2024-07-18,2024-02-09
463,0,0,0,1,1075,0,0,0,0,instruments,instruments prophet 08 + 51 encoders ,Navarra,1465,2023-08-06,2024-07-18,2024-02-09
464,0,0,0,1,225,0,0,0,0,roland,roland mvs-1 vintage synth module ,Zaragoza,91,2024-02-09,2024-07-18,2024-02-09
465,0,0,0,1,280,0,0,0,0,yamaha,yamaha mo8 ,Bizkaia,70,2024-02-09,2024-07-18,2024-02-09
466,0,0,0,1,100,0,0,0,0,m-audio,m-audio keystation 61 mkii ,Madrid,56,2024-02-09,2024-07-18,2024-02-09
467,0,0,0,1,360,0,0,0,0,waldorf,waldorf pulse rack ,Barcelona,575,2023-12-18,2024-07-19,2024-02-09
468,0,0,0,1,400,0,0,0,0,dreadbox,dreadbox erebus v3 ,Guadalajara,52,2024-02-09,2024-07-25,2024-02-09
469,0,0,0,1,3700,0,0,0,0,roland,roland mks-80 super jupiter rev5 + stereoping synthprogrammer ,Bizkaia,470,2023-12-23,2024-07-24,2024-02-09
470,0,0,0,1,130,0,0,0,0,befaco,befaco kickall eurorack ,Badajoz,162,2024-02-05,2024-07-22,2024-02-09
471,0,0,0,1,200,0,0,0,0,-,bastl grandpa – dual sampler + spa expansión [eurorack] ,Madrid,58,2024-02-08,2024-07-25,2024-02-09
473,0,0,0,1,120,0,0,0,0,erica synths ,black clap ,Madrid,276,2024-02-03,2024-07-20,2024-02-09
475,0,0,1,0,0,0,1,0,0,disting,disting mk4 ,Madrid,20,2024-02-09,2024-07-26,2024-02-09
476,0,0,0,1,180,0,0,0,0,roland,sintetizador roland jv1080 ,Barcelona,334,2024-02-03,2024-07-26,2024-02-09
477,0,0,0,1,655,0,0,0,0,pioneer,pioneer dj - toraiz sp-16 - ,Asturias,290,2024-02-02,2024-07-19,2024-02-09
478,0,0,0,1,250,0,0,0,0,squarp,squarp instruments rample ,Gipuzkoa,208,2024-02-04,2024-07-21,2024-02-09
479,0,0,0,1,46,0,0,0,0,roland,roland m-128d memory card ,Madrid,191,2024-02-04,2024-07-21,2024-02-09
480,0,0,0,1,1600,0,0,0,0,yamaha,yamaha motif xf6 ,Madrid,142,2024-02-07,2024-07-24,2024-02-09
